| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 130  |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 131  |      27 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 132  |      27 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 133  |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 134  |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 135  |      18 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 136  |      21 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 137  |      21 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 138  |      40 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 139  |      40 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 140  |      17 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 141  |      17 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          4 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 142  |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          4 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 143  |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          4 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 144  |      27 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          4 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 145  |      27 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          4 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 146  |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          4 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
