| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 128  |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 129  |      19 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 130  |      14 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 131  |      14 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 132  |      19 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 133  |      19 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 134  |      20 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 135  |      29 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 136  |      29 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 137  |      19 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 138  |      19 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 139  |      16 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 140  |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 141  |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 142  |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 143  |      14 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 144  |      14 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 145  |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |         10 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 146  |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 147  |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 148  |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 149  |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 150  |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 151  |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 152  |       1 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 153  |       1 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 154  |      42 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 155  |      42 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 156  |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 157  |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          1 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
